crop_id,split,image_path,label_path,crop_path,class_id,class_name,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,image_width,image_height,relative_area
train_009000_jpg.rf.8c46e1aa5b46a0ad24ee4bcb2945d22a_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009000_jpg.rf.8c46e1aa5b46a0ad24ee4bcb2945d22a.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009000_jpg.rf.8c46e1aa5b46a0ad24ee4bcb2945d22a.txt,data\crops\train\train_009000_jpg.rf.8c46e1aa5b46a0ad24ee4bcb2945d22a_000_pliers.png,2,pliers,258,210,286,241,28,31,868,416,416,0.0050157174556213
train_009002_jpg.rf.18bf80f2cfdb51f853da15019f787cef_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009002_jpg.rf.18bf80f2cfdb51f853da15019f787cef.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009002_jpg.rf.18bf80f2cfdb51f853da15019f787cef.txt,data\crops\train\train_009002_jpg.rf.18bf80f2cfdb51f853da15019f787cef_000_pliers.png,2,pliers,219,125,245,157,26,32,832,416,416,0.0048076923076923
train_009003_jpg.rf.46963402c4cb6f46a47e508b892c6521_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009003_jpg.rf.46963402c4cb6f46a47e508b892c6521.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009003_jpg.rf.46963402c4cb6f46a47e508b892c6521.txt,data\crops\train\train_009003_jpg.rf.46963402c4cb6f46a47e508b892c6521_000_pliers.png,2,pliers,153,145,199,171,46,26,1196,416,416,0.0069110576923076
train_009007_jpg.rf.a5143afbb0c741f3b60fc72403fdde6a_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009007_jpg.rf.a5143afbb0c741f3b60fc72403fdde6a.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009007_jpg.rf.a5143afbb0c741f3b60fc72403fdde6a.txt,data\crops\train\train_009007_jpg.rf.a5143afbb0c741f3b60fc72403fdde6a_000_pliers.png,2,pliers,154,105,180,187,26,82,2132,416,416,0.0123197115384615
train_009012_jpg.rf.bc99877ade8754d2be89119361e7820c_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009012_jpg.rf.bc99877ade8754d2be89119361e7820c.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009012_jpg.rf.bc99877ade8754d2be89119361e7820c.txt,data\crops\train\train_009012_jpg.rf.bc99877ade8754d2be89119361e7820c_000_pliers.png,2,pliers,322,144,347,178,25,34,850,416,416,0.0049117048816568
train_009013_jpg.rf.87d247bf389dbfa845acffc0d008ec3a_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009013_jpg.rf.87d247bf389dbfa845acffc0d008ec3a.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009013_jpg.rf.87d247bf389dbfa845acffc0d008ec3a.txt,data\crops\train\train_009013_jpg.rf.87d247bf389dbfa845acffc0d008ec3a_000_pliers.png,2,pliers,212,145,227,240,15,95,1425,416,416,0.0082343287721893
train_009014_jpg.rf.f51a856b832afb2e088b4c060761ce49_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009014_jpg.rf.f51a856b832afb2e088b4c060761ce49.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009014_jpg.rf.f51a856b832afb2e088b4c060761ce49.txt,data\crops\train\train_009014_jpg.rf.f51a856b832afb2e088b4c060761ce49_000_pliers.png,2,pliers,231,164,251,222,20,58,1160,416,416,0.0067030325443786
train_009016_jpg.rf.553671d4f23d00f4a81a4f98b8f76a37_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009016_jpg.rf.553671d4f23d00f4a81a4f98b8f76a37.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009016_jpg.rf.553671d4f23d00f4a81a4f98b8f76a37.txt,data\crops\train\train_009016_jpg.rf.553671d4f23d00f4a81a4f98b8f76a37_000_pliers.png,2,pliers,178,165,200,250,22,85,1870,416,416,0.0108057507396449
train_009017_jpg.rf.366548d28208b7ab6d0d04c133fd5f39_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009017_jpg.rf.366548d28208b7ab6d0d04c133fd5f39.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009017_jpg.rf.366548d28208b7ab6d0d04c133fd5f39.txt,data\crops\train\train_009017_jpg.rf.366548d28208b7ab6d0d04c133fd5f39_000_pliers.png,2,pliers,213,157,294,181,81,24,1944,416,416,0.0112333579881656
train_009018_jpg.rf.c8aa3b327415995002d25e1d4cb04883_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009018_jpg.rf.c8aa3b327415995002d25e1d4cb04883.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009018_jpg.rf.c8aa3b327415995002d25e1d4cb04883.txt,data\crops\train\train_009018_jpg.rf.c8aa3b327415995002d25e1d4cb04883_000_pliers.png,2,pliers,193,209,217,320,24,111,2664,416,416,0.0153938609467455
train_009019_jpg.rf.4bd79e8300bf82ac0f5654f842f6b40d_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009019_jpg.rf.4bd79e8300bf82ac0f5654f842f6b40d.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009019_jpg.rf.4bd79e8300bf82ac0f5654f842f6b40d.txt,data\crops\train\train_009019_jpg.rf.4bd79e8300bf82ac0f5654f842f6b40d_000_pliers.png,2,pliers,173,243,207,279,34,36,1224,416,416,0.0070728550295857
train_009023_jpg.rf.5e4b5e239e845a6fae3eb0043090ebc8_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009023_jpg.rf.5e4b5e239e845a6fae3eb0043090ebc8.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009023_jpg.rf.5e4b5e239e845a6fae3eb0043090ebc8.txt,data\crops\train\train_009023_jpg.rf.5e4b5e239e845a6fae3eb0043090ebc8_000_pliers.png,2,pliers,178,164,206,215,28,51,1428,416,416,0.0082516642011834
train_009026_jpg.rf.e067c72da9e42aa79a33e7f0b7306a1f_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009026_jpg.rf.e067c72da9e42aa79a33e7f0b7306a1f.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009026_jpg.rf.e067c72da9e42aa79a33e7f0b7306a1f.txt,data\crops\train\train_009026_jpg.rf.e067c72da9e42aa79a33e7f0b7306a1f_000_pliers.png,2,pliers,290,212,310,243,20,31,620,416,416,0.0035826553254437
train_009032_jpg.rf.03f6cc70d5b222548e62552035871170_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009032_jpg.rf.03f6cc70d5b222548e62552035871170.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009032_jpg.rf.03f6cc70d5b222548e62552035871170.txt,data\crops\train\train_009032_jpg.rf.03f6cc70d5b222548e62552035871170_000_pliers.png,2,pliers,115,318,159,344,44,26,1144,416,416,0.0066105769230769
train_009033_jpg.rf.ad55c0cc506839afffac6d009ce1f111_000_pliers,train,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\images\009033_jpg.rf.ad55c0cc506839afffac6d009ce1f111.jpg,C:\Users\Juan Ramirez\.cache\kagglehub\datasets\orvile\x-ray-baggage-anomaly-detection\versions\1\train\labels\009033_jpg.rf.ad55c0cc506839afffac6d009ce1f111.txt,data\crops\train\train_009033_jpg.rf.ad55c0cc506839afffac6d009ce1f111_000_pliers.png,2,pliers,176,200,201,223,25,23,575,416,416,0.0033226238905325
